customer_id,total_value,successful_actions,failed_actions,support_tickets,refunds_or_cancellations,avg_frequency,feature_diversity,value_score,effort_score,net_contribution,segment
119,955.95,11,3,1,1,5.02,10,20.74,30.0,-9.26,Growth Potential
120,834.89,8,3,2,0,5.09,5,17.53,32.0,-14.47,Growth Potential
121,1234.35,12,3,3,1,2.99,4,26.89,50.0,-23.11,Drainer
122,1557.21,14,3,1,0,2.52,11,34.19,22.0,12.19,Growth Potential
123,1985.48,13,5,0,2,8.29,1,43.11,36.0,7.11,Growth Potential
124,1618.46,11,9,1,1,0.58,11,34.86,54.0,-19.14,Drainer
125,1380.87,10,7,0,1,5.02,4,29.59,36.0,-6.41,Growth Potential
126,648.01,4,5,0,2,3.04,7,12.69,36.0,-23.31,Growth Potential
127,1309.94,16,3,2,1,5.86,9,29.35,40.0,-10.65,Growth Potential
128,1562.68,12,3,0,0,5.68,5,33.89,12.0,21.89,Growth Potential
129,1731.72,12,5,0,2,7.6,1,37.49,36.0,1.49,Growth Potential
130,800.42,8,5,1,0,2.55,3,16.79,30.0,-13.21,Growth Potential
131,1558.28,11,3,1,1,3.77,5,33.58,30.0,3.58,Growth Potential
132,1988.99,13,1,2,0,3.82,8,43.18,24.0,19.18,Growth Potential
133,1252.09,11,3,0,2,3.39,6,27.05,28.0,-0.95,Growth Potential
134,1821.46,12,2,1,0,7.55,10,39.4,18.0,21.4,Growth Potential
135,2228.68,14,3,0,0,3.6,2,48.5,12.0,36.5,Growth Potential
136,440.58,6,5,2,1,5.71,5,8.7,48.0,-39.3,Growth Potential
137,2504.61,19,3,2,0,6.15,7,55.45,32.0,23.45,Champion
138,1241.1,11,6,3,1,2.88,6,26.82,62.0,-35.18,Drainer
139,1110.43,11,2,1,0,1.91,10,24.04,18.0,6.04,Growth Potential
140,2411.07,19,0,1,0,5.74,4,53.45,10.0,43.45,Champion
141,966.59,8,3,0,0,1.24,4,20.33,12.0,8.33,Growth Potential
142,968.02,7,3,1,1,3.45,3,20.15,30.0,-9.85,Growth Potential
143,816.74,6,1,1,0,12.09,9,16.71,14.0,2.71,Growth Potential
144,1555.41,16,3,1,1,0.48,2,34.58,30.0,4.58,Growth Potential
145,1496.12,16,4,0,0,0.96,11,33.32,16.0,17.32,Growth Potential
146,813.57,7,1,0,0,1.51,10,16.86,4.0,12.86,Growth Potential
147,1596.0,13,4,2,0,0.82,11,34.81,36.0,-1.19,Growth Potential
148,849.69,10,2,1,2,7.63,6,18.27,34.0,-15.73,Growth Potential
149,1601.81,11,4,1,2,7.31,8,34.51,42.0,-7.49,Growth Potential
150,1815.21,16,4,0,1,2.38,1,40.12,24.0,16.12,Growth Potential
151,1128.19,12,2,0,0,0.45,3,24.63,8.0,16.63,Growth Potential
152,1961.64,10,2,2,0,4.6,5,41.96,28.0,13.96,Growth Potential
153,1019.47,11,5,0,1,1.28,11,22.1,28.0,-5.9,Growth Potential
154,2454.03,17,2,2,0,9.26,11,53.94,28.0,25.94,Champion
155,2840.04,20,2,0,1,0.79,2,62.81,16.0,46.81,Champion
156,1285.26,13,2,1,0,3.31,7,28.19,18.0,10.19,Growth Potential
157,692.19,10,2,2,1,1.79,7,14.91,36.0,-21.09,Growth Potential
158,1450.27,14,3,0,2,5.47,2,31.92,28.0,3.92,Growth Potential
159,682.67,6,2,1,0,2.32,8,13.86,18.0,-4.14,Growth Potential
160,552.61,5,2,1,0,1.86,9,10.87,18.0,-7.13,Growth Potential
161,429.05,11,2,0,0,3.44,10,9.52,8.0,1.52,Growth Potential
162,1402.81,10,2,0,1,1.2,1,30.05,16.0,14.05,Growth Potential
163,1042.96,8,1,0,0,6.45,5,21.96,4.0,17.96,Growth Potential
164,994.9,13,5,1,1,2.95,3,22.0,38.0,-16.0,Growth Potential
165,748.46,6,2,1,0,1.82,3,15.26,18.0,-2.74,Growth Potential
166,1929.12,14,1,2,1,2.68,5,42.12,32.0,10.12,Growth Potential
167,1606.12,11,4,1,1,5.29,9,34.6,34.0,0.6,Growth Potential
168,1533.13,11,3,2,0,3.9,4,33.04,32.0,1.04,Growth Potential
169,1406.69,15,2,0,0,0.44,9,31.2,8.0,23.2,Growth Potential
170,1579.14,11,7,0,0,2.19,5,34.02,28.0,6.02,Growth Potential
171,1149.84,7,1,0,2,1.7,5,24.02,20.0,4.02,Growth Potential
172,247.9,5,4,0,0,2.95,11,4.38,16.0,-11.62,Growth Potential
173,753.48,7,4,0,0,3.73,11,15.58,16.0,-0.42,Growth Potential
174,1368.3,15,3,1,0,3.01,1,30.38,22.0,8.38,Growth Potential
175,3063.31,21,1,1,1,3.19,8,67.78,22.0,45.78,Champion
176,1548.16,10,3,2,1,2.57,7,33.15,40.0,-6.85,Growth Potential
177,1006.51,6,2,0,1,7.0,10,20.76,16.0,4.76,Growth Potential
178,1253.52,13,3,0,1,9.79,6,27.51,20.0,7.51,Growth Potential
179,1290.54,11,4,2,0,1.82,8,27.87,36.0,-8.13,Growth Potential
180,466.65,4,2,1,1,1.55,8,8.83,26.0,-17.17,Growth Potential
181,1230.18,11,3,0,1,0.79,7,26.59,20.0,6.59,Growth Potential
182,1260.65,9,7,2,2,5.49,7,26.81,64.0,-37.19,Drainer
183,1542.17,12,5,3,0,2.46,9,33.45,50.0,-16.55,Drainer
184,2185.55,13,2,2,2,3.15,3,47.37,44.0,3.37,Growth Potential
185,1410.64,14,3,1,1,1.11,5,31.07,30.0,1.07,Growth Potential
186,1327.1,10,2,1,0,6.24,11,28.44,18.0,10.44,Growth Potential
187,1438.01,14,5,1,1,2.66,6,31.65,38.0,-6.35,Growth Potential
188,2065.64,13,4,1,0,3.59,7,44.82,26.0,18.82,Growth Potential
189,2041.1,18,5,0,0,3.99,11,45.36,20.0,25.36,Growth Potential
190,478.52,4,1,2,0,4.29,11,9.08,24.0,-14.92,Growth Potential
191,1942.55,11,3,1,1,0.79,11,41.77,30.0,11.77,Growth Potential
192,1929.38,13,3,1,0,3.34,7,41.91,22.0,19.91,Growth Potential
193,1847.16,16,4,0,0,1.67,10,40.8,16.0,24.8,Growth Potential
194,875.78,11,5,0,0,9.2,7,19.04,20.0,-0.96,Growth Potential
195,1533.88,16,5,3,1,3.12,8,34.12,58.0,-23.88,Drainer
196,1375.35,11,5,1,0,4.67,6,29.68,30.0,-0.32,Growth Potential
197,2371.93,20,2,2,1,4.34,1,52.83,36.0,16.83,Champion
198,1354.83,9,4,2,0,1.77,7,28.82,36.0,-7.18,Growth Potential
199,1729.82,13,5,0,0,4.78,2,37.66,20.0,17.66,Growth Potential
200,658.57,7,2,3,1,2.87,1,13.56,46.0,-32.44,Growth Potential
201,1241.48,12,5,1,0,2.49,9,27.04,30.0,-2.96,Growth Potential
202,1361.8,12,1,2,0,9.82,3,29.6,24.0,5.6,Growth Potential
203,1554.41,12,2,0,1,7.32,10,33.71,16.0,17.71,Growth Potential
204,2158.91,17,3,3,0,1.44,1,47.65,42.0,5.65,Growth Potential
205,931.93,7,3,3,0,0.64,8,19.38,42.0,-22.62,Growth Potential
206,2600.07,15,3,1,0,3.42,11,56.63,22.0,34.63,Champion
207,1924.82,14,5,1,0,3.09,2,42.03,30.0,12.03,Growth Potential
208,850.56,7,4,1,1,4.19,10,17.65,34.0,-16.35,Growth Potential
209,1901.93,10,3,0,1,4.71,3,40.69,20.0,20.69,Growth Potential
210,843.28,11,2,1,0,3.48,7,18.34,18.0,0.34,Growth Potential
211,2647.94,17,3,2,0,8.88,1,58.07,32.0,26.07,Champion
212,1204.85,12,5,0,0,12.15,11,26.26,20.0,6.26,Growth Potential
213,797.92,11,0,0,1,9.3,4,17.38,8.0,9.38,Growth Potential
214,1627.22,12,3,0,1,13.2,6,35.26,20.0,15.26,Growth Potential
215,1496.06,12,1,2,0,9.8,3,32.47,24.0,8.47,Growth Potential
216,1774.33,13,2,2,1,8.49,5,38.61,36.0,2.61,Growth Potential
217,631.92,6,3,1,0,1.31,10,12.77,22.0,-9.23,Growth Potential
218,742.23,7,2,1,0,2.48,6,15.34,18.0,-2.66,Growth Potential
219,895.76,8,4,2,0,5.44,8,18.82,36.0,-17.18,Growth Potential
220,2649.53,17,4,0,0,3.12,6,58.11,16.0,42.11,Champion
221,2135.79,14,4,1,0,3.19,11,46.52,26.0,20.52,Growth Potential
222,1312.74,8,1,0,0,1.69,5,27.71,4.0,23.71,Growth Potential
223,794.3,8,3,1,0,8.38,11,16.66,22.0,-5.34,Growth Potential
224,656.65,8,1,1,0,4.97,6,13.73,14.0,-0.27,Growth Potential
225,566.3,7,3,1,1,0.77,7,11.59,30.0,-18.41,Growth Potential
226,660.37,9,0,1,1,9.82,2,14.02,18.0,-3.98,Growth Potential
227,1786.54,12,4,0,1,11.3,2,38.66,24.0,14.66,Growth Potential
228,2609.53,13,6,2,0,2.44,6,56.4,44.0,12.4,Champion
229,630.14,5,5,0,1,3.92,9,12.52,28.0,-15.48,Growth Potential
230,2191.5,15,2,0,2,1.71,5,47.92,24.0,23.92,Growth Potential
231,891.42,8,5,1,2,2.31,2,18.73,46.0,-27.27,Growth Potential
232,1200.98,11,1,0,0,2.93,10,25.97,4.0,21.97,Growth Potential
233,1663.41,13,3,3,1,3.36,6,36.24,50.0,-13.76,Drainer
234,1301.25,12,2,2,1,4.06,8,28.31,36.0,-7.69,Growth Potential
235,1347.88,12,6,1,0,2.04,11,29.31,34.0,-4.69,Growth Potential
236,390.84,7,6,0,0,0.66,1,7.85,24.0,-16.15,Growth Potential
237,1492.41,12,2,1,1,0.92,2,32.39,26.0,6.39,Growth Potential
238,773.77,9,2,2,3,1.42,9,16.44,52.0,-35.56,Drainer
239,943.74,9,9,0,1,1.61,5,20.06,44.0,-23.94,Growth Potential
240,1206.61,13,6,1,3,3.41,6,26.51,58.0,-31.49,Drainer
241,1478.86,15,0,1,1,1.81,11,32.74,18.0,14.74,Growth Potential
242,708.29,6,2,1,0,5.46,5,14.4,18.0,-3.6,Growth Potential
243,1648.42,13,2,2,0,4.1,9,35.93,28.0,7.93,Growth Potential
244,1478.59,11,2,2,0,4.54,11,31.88,28.0,3.88,Growth Potential
245,840.3,10,8,0,0,1.04,8,18.07,32.0,-13.93,Growth Potential
246,1044.5,13,0,0,0,2.27,6,23.06,0.0,23.06,Growth Potential
247,1619.22,13,2,2,0,3.02,8,35.3,28.0,7.3,Growth Potential
248,863.22,7,0,1,0,2.63,3,17.92,10.0,7.92,Growth Potential
249,1776.93,9,3,1,1,1.49,7,37.81,30.0,7.81,Growth Potential
250,917.75,8,5,2,2,0.92,5,19.29,56.0,-36.71,Drainer
251,1010.87,6,5,0,0,1.63,7,20.85,20.0,0.85,Growth Potential
252,826.06,7,2,1,0,3.71,9,17.12,18.0,-0.88,Growth Potential
253,1532.76,16,2,2,0,1.58,10,34.1,28.0,6.1,Growth Potential
254,1157.93,8,5,0,1,2.06,4,24.41,28.0,-3.59,Growth Potential
255,2041.11,18,2,0,2,2.52,9,45.36,24.0,21.36,Growth Potential
256,1504.72,13,1,2,0,5.42,6,32.86,24.0,8.86,Growth Potential
257,1902.08,15,4,0,1,7.39,7,41.76,24.0,17.76,Growth Potential
258,1554.22,10,3,0,0,0.62,5,33.28,12.0,21.28,Growth Potential
259,1243.26,12,2,1,1,12.99,10,27.08,26.0,1.08,Growth Potential
260,779.72,7,3,1,1,1.03,2,16.14,30.0,-13.86,Growth Potential
261,1133.1,10,1,1,0,5.23,5,24.31,14.0,10.31,Growth Potential
262,1029.58,8,4,1,0,2.54,3,21.67,26.0,-4.33,Growth Potential
263,1641.54,12,6,2,0,4.4,9,35.57,44.0,-8.43,Growth Potential
264,804.85,10,5,1,1,3.39,10,17.31,38.0,-20.69,Growth Potential
265,1032.27,10,1,0,2,2.46,6,22.16,20.0,2.16,Growth Potential
266,1081.37,9,4,3,2,3.34,2,22.99,62.0,-39.01,Drainer
267,1721.23,15,3,2,1,0.67,4,37.9,40.0,-2.1,Growth Potential
268,1751.54,12,4,1,0,4.83,9,37.91,26.0,11.91,Growth Potential
269,2335.39,19,5,2,0,9.67,1,51.84,40.0,11.84,Champion
270,1760.29,13,0,0,0,4.78,11,38.31,0.0,38.31,Growth Potential
271,870.73,8,4,1,0,4.86,9,18.29,26.0,-7.71,Growth Potential
272,1271.39,8,1,1,1,6.96,3,26.83,22.0,4.83,Growth Potential
273,709.99,8,0,0,0,8.75,3,14.86,0.0,14.86,Growth Potential
274,1543.45,14,3,0,0,0.13,7,33.9,12.0,21.9,Growth Potential
275,1307.4,10,5,0,1,4.41,10,28.02,28.0,0.02,Growth Potential
276,1715.97,11,3,2,0,4.57,11,36.94,32.0,4.94,Growth Potential
277,1478.5,11,3,0,0,6.56,9,31.88,12.0,19.88,Growth Potential
278,1587.06,12,2,2,2,3.49,11,34.4,44.0,-9.6,Growth Potential
279,2015.25,15,3,1,0,9.29,9,44.17,22.0,22.17,Growth Potential
280,1452.92,11,1,1,1,7.23,7,31.33,22.0,9.33,Growth Potential
281,2735.63,17,2,3,1,2.54,4,59.94,46.0,13.94,Champion
282,2231.38,13,3,0,1,6.23,1,48.35,20.0,28.35,Growth Potential
283,1954.95,13,3,1,0,6.21,4,42.46,22.0,20.46,Growth Potential
284,532.32,8,2,0,1,1.22,9,11.08,16.0,-4.92,Growth Potential
285,1078.99,9,5,4,0,5.04,3,22.94,60.0,-37.06,Drainer
286,1041.63,10,3,1,0,3.97,10,22.36,22.0,0.36,Growth Potential
287,1188.74,7,1,1,1,4.44,7,24.85,22.0,2.85,Growth Potential
288,2136.16,15,2,0,0,6.81,10,46.74,8.0,38.74,Growth Potential
289,1740.14,9,2,1,0,15.49,1,37.03,18.0,19.03,Growth Potential
290,1515.97,14,3,1,0,10.44,7,33.32,22.0,11.32,Growth Potential
291,1940.64,14,2,1,2,0.8,7,42.36,34.0,8.36,Growth Potential
292,1438.05,9,1,0,0,3.54,3,30.59,4.0,26.59,Growth Potential
293,2228.1,13,2,0,0,2.62,4,48.28,8.0,40.28,Growth Potential
294,826.17,8,2,0,0,5.44,10,17.34,8.0,9.34,Growth Potential
295,1711.54,12,7,0,0,10.66,4,37.06,28.0,9.06,Growth Potential
296,1508.37,18,1,0,0,4.69,2,34.01,4.0,30.01,Growth Potential
297,2200.38,14,6,1,0,4.87,4,47.9,34.0,13.9,Growth Potential
298,1255.31,13,1,0,0,4.19,2,27.55,4.0,23.55,Growth Potential
299,1265.92,11,1,0,1,0.54,2,27.35,12.0,15.35,Growth Potential
300,1804.36,11,3,0,1,6.27,3,38.82,20.0,18.82,Growth Potential
301,1530.61,17,2,0,0,2.85,2,34.27,8.0,26.27,Growth Potential
302,1030.26,13,2,2,0,3.35,2,22.75,28.0,-5.25,Growth Potential
303,663.24,5,5,1,1,9.08,10,13.23,38.0,-24.77,Growth Potential
304,1710.33,15,3,2,0,1.27,7,37.67,32.0,5.67,Growth Potential
305,1621.86,10,3,1,0,4.44,6,34.72,22.0,12.72,Growth Potential
306,1435.02,12,1,0,0,3.15,4,31.17,4.0,27.17,Growth Potential
307,1851.72,10,6,2,0,4.44,1,39.62,44.0,-4.38,Growth Potential
308,1949.01,15,3,1,0,6.57,5,42.76,22.0,20.76,Growth Potential
309,1405.57,9,4,0,0,3.62,11,29.9,16.0,13.9,Growth Potential
310,1006.05,8,5,1,1,0.68,1,21.17,38.0,-16.83,Growth Potential
311,1658.49,12,0,0,0,4.51,11,35.93,0.0,35.93,Growth Potential
312,3268.69,18,1,1,0,0.92,3,71.51,14.0,57.51,Champion
313,2080.68,13,5,1,2,6.12,2,45.14,46.0,-0.86,Growth Potential
314,1004.63,8,2,0,0,3.18,7,21.14,8.0,13.14,Growth Potential
315,1549.77,12,3,0,1,0.69,8,33.61,20.0,13.61,Growth Potential
316,808.61,9,4,0,1,0.85,9,17.18,24.0,-6.82,Growth Potential
317,1403.57,9,6,0,1,6.52,1,29.86,32.0,-2.14,Growth Potential
318,1448.06,13,1,2,1,2.3,8,31.66,32.0,-0.34,Growth Potential
319,2028.31,15,6,0,0,0.75,4,44.45,24.0,20.45,Growth Potential
320,1036.68,12,2,2,0,5.04,10,22.68,28.0,-5.32,Growth Potential
321,1173.39,11,5,1,1,2.02,2,25.38,38.0,-12.62,Growth Potential
322,739.8,8,1,1,0,2.28,5,15.5,14.0,1.5,Growth Potential
323,1092.28,11,5,2,0,1.29,1,23.65,40.0,-16.35,Growth Potential
324,1618.42,13,2,3,1,2.92,1,35.29,46.0,-10.71,Growth Potential
325,1512.02,14,6,1,0,3.88,5,33.23,34.0,-0.77,Growth Potential
326,1254.41,9,2,1,2,0.38,5,26.68,34.0,-7.32,Growth Potential
327,1593.54,15,3,1,2,1.9,7,35.18,38.0,-2.82,Growth Potential
328,2545.83,14,3,2,0,3.66,2,55.26,32.0,23.26,Champion
329,924.45,7,3,2,0,4.29,6,19.22,32.0,-12.78,Growth Potential
330,1425.36,16,0,2,1,3.96,2,31.81,28.0,3.81,Growth Potential
331,1191.91,14,5,1,2,3.61,5,26.41,46.0,-19.59,Growth Potential
332,1987.04,10,3,0,1,3.04,11,42.5,20.0,22.5,Growth Potential
333,932.53,9,4,1,0,1.87,9,19.82,26.0,-6.18,Growth Potential
334,703.77,8,3,1,1,3.85,3,14.73,30.0,-15.27,Growth Potential
335,1698.74,11,0,0,2,0.94,10,36.57,16.0,20.57,Growth Potential
336,2402.52,16,2,2,2,2.19,4,52.63,44.0,8.63,Champion
337,1047.25,9,3,1,0,3.19,5,22.26,22.0,0.26,Growth Potential
338,1602.83,13,4,2,1,0.41,9,34.95,44.0,-9.05,Growth Potential
339,1409.75,13,5,0,0,4.41,1,30.84,20.0,10.84,Growth Potential
340,1602.48,12,1,1,0,2.35,10,34.73,14.0,20.73,Growth Potential
341,1818.34,15,3,0,1,2.35,2,39.97,20.0,19.97,Growth Potential
342,2330.5,17,2,1,1,2.5,8,51.31,26.0,25.31,Champion
343,1524.11,11,1,1,1,7.62,11,32.85,22.0,10.85,Growth Potential
344,931.39,9,2,0,0,6.0,8,19.79,8.0,11.79,Growth Potential
345,970.47,13,6,2,1,3.72,1,21.48,52.0,-30.52,Drainer
346,812.01,8,2,3,0,0.51,3,17.04,38.0,-20.96,Growth Potential
347,827.68,7,1,1,0,8.08,10,17.16,14.0,3.16,Growth Potential
